case,flood_type,t_peak,h_peak,alpha,recession_ratio,dt,v_peak,lead_ratio,alpha_v,recession_ratio_v
71,flash,228.6,0.656,2.207,1.62,5,0.347,0.045,1.613,1.305
72,prolonged,3401.79,1.585,3.936,3.097,60,1.276,0.025,3.197,3.086
73,short,1146.36,0.487,2.673,2.648,15,0.597,0.01,3.364,2.625
74,prolonged,5407.5,1.617,1.685,3.603,60,1.289,0.03,2.495,3.32
75,short,1424.39,0.07,3.411,1.737,15,0.189,0.045,2.402,1.703
76,prolonged,2936.37,0.926,3.975,5.441,60,0.637,0.122,2.902,6.415
77,flash,46.21,0.534,3.151,1.369,5,0.368,0.015,1.206,1.342
78,short,695.48,0.4,2.079,2.083,15,0.656,0.091,2.781,2.436
79,prolonged,5117.18,0.536,3.153,4.5,60,1.022,0.109,2.69,5.235
80,short,1055.49,0.113,1.915,1.643,15,0.171,0.114,1.864,1.396
81,short,824.34,0.424,3.857,2.899,15,0.563,0.016,1.292,2.821
82,flash,58.64,0.654,1.728,1.4,5,1.103,0.115,3.387,1.68
83,flash,121.41,1.515,1.601,1.416,5,1.512,0.13,3.307,1.235
84,prolonged,3693.94,0.339,2.729,4.539,60,0.237,0.067,2.741,5.189
85,prolonged,2448.42,0.273,2.221,4.775,60,0.621,0.11,2.246,4.42
86,flash,58.76,0.343,2.51,1.976,5,0.436,0.132,2.448,1.908
87,short,335.88,0.993,3.391,2.224,15,1.046,0.041,2.463,2.604
88,short,526.18,0.64,1.804,2.897,15,1.131,0.048,1.564,2.955
89,flash,94.59,0.336,3.981,1.275,5,0.776,0.023,3.114,1.274
90,short,866.64,0.735,2.184,2.518,15,1.051,0.049,2.468,2.401
91,prolonged,6349.22,0.538,3.698,4.033,60,0.991,0.158,2.154,4.733
92,flash,86.23,1.034,2.207,1.856,5,0.671,0.2,2.326,1.595
93,flash,91.94,0.295,2.88,1.476,5,0.495,0.064,1.634,1.593
94,flash,98.52,0.391,3.439,1.387,5,0.196,0.141,3.066,1.324
95,flash,119.26,0.373,3.952,1.857,5,0.596,0.1,2.557,2.131
96,flash,184.75,0.167,2.815,1.552,5,0.281,0.082,2.706,1.338
97,prolonged,3065.65,0.624,2.346,5.877,60,0.855,0.17,3.16,6.722
98,flash,66.12,0.608,3.297,1.453,5,0.872,0.007,1.357,1.53
99,flash,203.61,0.502,3.367,1.998,5,0.61,0.127,3.207,1.953
100,prolonged,4399.96,0.419,1.615,5.614,60,0.821,0.075,1.535,5.684
